Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
HTI,2000-01-01,2000-01-31,93,'332,Haiti,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2000,2000,,22.563697,X,base year is 2015
HTI,2001-01-01,2001-01-31,93,'332,Haiti,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2001,2001,,26.294924,X,base year is 2015
HTI,2002-01-01,2002-01-31,93,'332,Haiti,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2002,2002,,27.770270,X,base year is 2015
HTI,2003-01-01,2003-01-31,93,'332,Haiti,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2003,2003,,31.793710,X,base year is 2015
HTI,2004-01-01,2004-01-31,93,'332,Haiti,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2004,2004,,42.349111,X,base year is 2015
HTI,2005-01-01,2005-01-31,93,'332,Haiti,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2005,2005,,48.909551,X,base year is 2015
HTI,2006-01-01,2006-01-31,93,'332,Haiti,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2006,2006,,55.086260,X,base year is 2015
HTI,2007-01-01,2007-01-31,93,'332,Haiti,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2007,2007,,59.911974,X,base year is 2015
HTI,2008-01-01,2008-01-31,93,'332,Haiti,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2008,2008,,65.723106,X,base year is 2015
HTI,2009-01-01,2009-01-31,93,'332,Haiti,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2009,2009,,76.079044,X,base year is 2015
HTI,2010-01-01,2010-01-31,93,'332,Haiti,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2010,2010,,73.891545,X,base year is 2015
HTI,2011-01-01,2011-01-31,93,'332,Haiti,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2011,2011,,78.144224,X,base year is 2015
