Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
HTI,1970-01-01,1970-12-31,93,'332,Haiti,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1970,1970,LCU,1.1083555180,E
HTI,1971-01-01,1971-12-31,93,'332,Haiti,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1971,1971,LCU,1.1402141960,E
HTI,1972-01-01,1972-12-31,93,'332,Haiti,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1972,1972,LCU,1.1578150170,E
HTI,1973-01-01,1973-12-31,93,'332,Haiti,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1973,1973,LCU,1.3869186520,E
HTI,1974-01-01,1974-12-31,93,'332,Haiti,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1974,1974,LCU,1.5880816880,E
HTI,1975-01-01,1975-12-31,93,'332,Haiti,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1975,1975,LCU,1.8926498400,E
HTI,1976-01-01,1976-12-31,93,'332,Haiti,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1976,1976,LCU,2.2515144700,E
HTI,1977-01-01,1977-12-31,93,'332,Haiti,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1977,1977,LCU,2.4141578390,E
HTI,1978-01-01,1978-12-31,93,'332,Haiti,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1978,1978,LCU,2.3681984420,E
HTI,1979-01-01,1979-12-31,93,'332,Haiti,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1979,1979,LCU,2.4422671520,E
HTI,1980-01-01,1980-12-31,93,'332,Haiti,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1980,1980,LCU,2.9123628010,E
