Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Element Code,Element,ISO Currency Code,Currency,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,,,,,,#date+year,,,#indicator+type,#indicator+value+num,
HTI,1970-01-01,1970-12-31,93,'332,Haiti,LCU,Local currency units per USD,HTG,Gourde,1970,1970,7021,Annual value,,5.000000004000000,X
HTI,1970-01-01,1970-01-31,93,'332,Haiti,LCU,Local currency units per USD,HTG,Gourde,1970,1970,7001,January,,5.000000004000000,X
HTI,1970-02-01,1970-02-28,93,'332,Haiti,LCU,Local currency units per USD,HTG,Gourde,1970,1970,7002,February,,5.000000004000000,X
HTI,1970-03-01,1970-03-31,93,'332,Haiti,LCU,Local currency units per USD,HTG,Gourde,1970,1970,7003,March,,5.000000004000000,X
HTI,1970-04-01,1970-04-30,93,'332,Haiti,LCU,Local currency units per USD,HTG,Gourde,1970,1970,7004,April,,5.000000004000000,X
HTI,1970-05-01,1970-05-31,93,'332,Haiti,LCU,Local currency units per USD,HTG,Gourde,1970,1970,7005,May,,5.000000004000000,X
HTI,1970-06-01,1970-06-30,93,'332,Haiti,LCU,Local currency units per USD,HTG,Gourde,1970,1970,7006,June,,5.000000004000000,X
HTI,1970-07-01,1970-07-31,93,'332,Haiti,LCU,Local currency units per USD,HTG,Gourde,1970,1970,7007,July,,5.000000004000000,X
HTI,1970-08-01,1970-08-31,93,'332,Haiti,LCU,Local currency units per USD,HTG,Gourde,1970,1970,7008,August,,5.000000004000000,X
HTI,1970-09-01,1970-09-30,93,'332,Haiti,LCU,Local currency units per USD,HTG,Gourde,1970,1970,7009,September,,5.000000004000000,X
HTI,1970-10-01,1970-10-31,93,'332,Haiti,LCU,Local currency units per USD,HTG,Gourde,1970,1970,7010,October,,5.000000004000000,X
HTI,1970-11-01,1970-11-30,93,'332,Haiti,LCU,Local currency units per USD,HTG,Gourde,1970,1970,7011,November,,5.000000004000000,X
HTI,1970-12-01,1970-12-31,93,'332,Haiti,LCU,Local currency units per USD,HTG,Gourde,1970,1970,7012,December,,5.000000004000000,X
HTI,1971-01-01,1971-12-31,93,'332,Haiti,LCU,Local currency units per USD,HTG,Gourde,1971,1971,7021,Annual value,,5.000000003600000,X
HTI,1971-01-01,1971-01-31,93,'332,Haiti,LCU,Local currency units per USD,HTG,Gourde,1971,1971,7001,January,,5.000000004000000,X
HTI,1971-02-01,1971-02-28,93,'332,Haiti,LCU,Local currency units per USD,HTG,Gourde,1971,1971,7002,February,,5.000000004000000,X
HTI,1971-03-01,1971-03-31,93,'332,Haiti,LCU,Local currency units per USD,HTG,Gourde,1971,1971,7003,March,,5.000000004000000,X
HTI,1971-04-01,1971-04-30,93,'332,Haiti,LCU,Local currency units per USD,HTG,Gourde,1971,1971,7004,April,,5.000000004000000,X
HTI,1971-05-01,1971-05-31,93,'332,Haiti,LCU,Local currency units per USD,HTG,Gourde,1971,1971,7005,May,,5.000000004000000,X
HTI,1971-06-01,1971-06-30,93,'332,Haiti,LCU,Local currency units per USD,HTG,Gourde,1971,1971,7006,June,,5.000000004000000,X
HTI,1971-07-01,1971-07-31,93,'332,Haiti,LCU,Local currency units per USD,HTG,Gourde,1971,1971,7007,July,,5.000000004000000,X
HTI,1971-08-01,1971-08-31,93,'332,Haiti,LCU,Local currency units per USD,HTG,Gourde,1971,1971,7008,August,,5.000000004000000,X
HTI,1971-09-01,1971-09-30,93,'332,Haiti,LCU,Local currency units per USD,HTG,Gourde,1971,1971,7009,September,,5.000000004000000,X
HTI,1971-10-01,1971-10-31,93,'332,Haiti,LCU,Local currency units per USD,HTG,Gourde,1971,1971,7010,October,,5.000000004000000,X
HTI,1971-11-01,1971-11-30,93,'332,Haiti,LCU,Local currency units per USD,HTG,Gourde,1971,1971,7011,November,,5.000000004000000,X
