Iso3,Item Code,Year,Value
#country+code,#indicator+code,#date+year,#indicator+value+num
HTI,23013,2000,22.563697
HTI,23013,2001,26.294924
HTI,23013,2002,27.770270
HTI,23013,2003,31.793710
HTI,23013,2004,42.349111
HTI,23013,2005,48.909551
HTI,23013,2006,55.086260
HTI,23013,2007,59.911974
HTI,23013,2008,65.723106
HTI,23013,2009,76.079044
HTI,23013,2010,73.891545
HTI,23013,2011,78.144224
HTI,23013,2012,84.036265
HTI,23013,2013,89.789528
HTI,23013,2014,91.958329
HTI,23013,2015,95.532534
HTI,23013,2016,107.985453
HTI,23013,2017,119.192445
HTI,23013,2018,133.101241
HTI,23013,2019,158.255992
HTI,23013,2020,197.682614
HTI,23013,2021,242.192112
HTI,23013,2022,304.010859
HTI,23013,2000,22.660423
HTI,23013,2001,26.328861
HTI,23013,2002,27.918894
HTI,23013,2003,33.844654
HTI,23013,2004,42.725826
HTI,23013,2005,49.917581
HTI,23013,2006,55.561794
HTI,23013,2007,60.099991
HTI,23013,2008,67.086091
HTI,23013,2009,75.297936
HTI,23013,2010,76.383715
HTI,23013,2011,79.313348
HTI,23013,2012,84.514761
HTI,23013,2013,89.900028
HTI,23013,2014,92.169732
HTI,23013,2015,95.855143
HTI,23013,2016,109.138039
HTI,23013,2017,120.492562
HTI,23013,2018,134.448284
HTI,23013,2019,161.278241
HTI,23013,2020,201.941239
HTI,23013,2021,245.489112
HTI,23013,2022,309.093733
HTI,23013,2000,22.896615
HTI,23013,2001,26.346004
HTI,23013,2002,28.157056
HTI,23013,2003,35.598872
HTI,23013,2004,43.194000
HTI,23013,2005,50.453633
HTI,23013,2006,56.840430
HTI,23013,2007,60.735926
HTI,23013,2008,68.465167
HTI,23013,2009,74.278969
HTI,23013,2010,75.850388
HTI,23013,2011,80.676047
HTI,23013,2012,84.666769
HTI,23013,2013,90.359186
HTI,23013,2014,92.269889
HTI,23013,2015,96.167353
HTI,23013,2016,110.227083
HTI,23013,2017,121.577830
HTI,23013,2018,135.912147
HTI,23013,2019,162.789366
HTI,23013,2020,206.062489
HTI,23013,2021,248.786112
HTI,23013,2022,315.000858
HTI,23013,2000,23.280742
HTI,23013,2001,26.423315
HTI,23013,2002,28.275940
HTI,23013,2003,36.645837
HTI,23013,2004,44.793058
HTI,23013,2005,50.852460
HTI,23013,2006,57.423737
HTI,23013,2007,60.795197
HTI,23013,2008,73.140128
HTI,23013,2009,73.709587
HTI,23013,2010,76.410965
HTI,23013,2011,81.252309
HTI,23013,2012,84.815625
HTI,23013,2013,90.736318
HTI,23013,2014,92.664206
HTI,23013,2015,96.572676
HTI,23013,2016,111.023750
HTI,23013,2017,122.696449
HTI,23013,2018,137.336158
HTI,23013,2019,166.910616
HTI,23013,2020,210.595864
HTI,23013,2021,251.121487
HTI,23013,2022,320.770608
HTI,23013,2000,23.525153
HTI,23013,2001,26.565815
HTI,23013,2002,28.380751
HTI,23013,2003,37.994385
HTI,23013,2004,46.935268
HTI,23013,2005,51.284478
HTI,23013,2006,57.946672
HTI,23013,2007,61.229710
HTI,23013,2008,74.896672
HTI,23013,2009,73.657637
HTI,23013,2010,76.949688
HTI,23013,2011,81.628528
HTI,23013,2012,85.264183
HTI,23013,2013,91.070909
HTI,23013,2014,93.101172
HTI,23013,2015,96.933356
HTI,23013,2016,111.820245
HTI,23013,2017,123.914523
HTI,23013,2018,139.214407
HTI,23013,2019,169.932866
HTI,23013,2020,215.953488
HTI,23013,2021,253.731611
HTI,23013,2022,327.639357
HTI,23013,2000,23.607805
HTI,23013,2001,26.811272
HTI,23013,2002,28.461178
HTI,23013,2003,39.381056
HTI,23013,2004,48.236217
HTI,23013,2005,52.507512
HTI,23013,2006,58.335960
HTI,23013,2007,61.623406
HTI,23013,2008,75.975083
HTI,23013,2009,73.661370
HTI,23013,2010,76.814686
HTI,23013,2011,82.059466
HTI,23013,2012,85.449699
HTI,23013,2013,91.540978
HTI,23013,2014,93.392530
HTI,23013,2015,97.709566
HTI,23013,2016,112.566336
HTI,23013,2017,125.140477
HTI,23013,2018,141.284327
HTI,23013,2019,173.092491
HTI,23013,2020,223.783863
HTI,23013,2021,257.303361
HTI,23013,2022,336.293982
HTI,23013,2000,23.649150
HTI,23013,2001,26.839963
HTI,23013,2002,28.619623
